date,health_reg_name,admissions,respiratory
2021-02-14,Midt,6,2
2021-02-15,Midt,6,2
2021-02-16,Midt,4,2
2021-02-17,Midt,4,2
2021-02-18,Midt,3,2
2021-02-19,Midt,3,2
2021-02-20,Midt,3,2
2021-02-21,Midt,4,1
2021-02-22,Midt,4,1
2021-02-23,Midt,3,1
2021-02-24,Midt,3,0
2021-02-25,Midt,3,0
2021-02-26,Midt,2,0
2021-02-27,Midt,2,0
2021-02-28,Midt,2,0
2021-03-01,Midt,2,0
2021-03-02,Midt,2,0
2021-03-03,Midt,2,0
2021-03-04,Midt,3,0
2021-03-05,Midt,4,0
2021-03-06,Midt,3,0
2021-03-07,Midt,3,0
2021-03-08,Midt,4,0
2021-03-09,Midt,4,0
2021-03-10,Midt,4,0
2021-03-11,Midt,5,0
2021-03-12,Midt,4,0
2021-03-13,Midt,4,0
2021-03-14,Midt,5,0
2021-03-15,Midt,5,0
2021-03-16,Midt,5,0
2021-03-17,Midt,6,0
2021-03-18,Midt,7,2
2021-03-19,Midt,5,2
2021-03-20,Midt,8,2
2021-03-21,Midt,8,2
2021-03-22,Midt,8,2
2021-03-23,Midt,10,2
2021-03-24,Midt,7,2
2021-03-25,Midt,5,2
2021-03-26,Midt,7,2
2021-03-27,Midt,7,2
2021-03-28,Midt,7,2
2021-03-29,Midt,6,2
2021-03-30,Midt,9,2
2021-03-31,Midt,11,2
2021-04-01,Midt,11,2
2021-04-02,Midt,10,2
2021-04-03,Midt,9,3
2021-04-04,Midt,8,3
2021-04-05,Midt,8,4
2021-04-06,Midt,7,4
2021-04-07,Midt,7,4
2021-04-08,Midt,5,4
2021-04-09,Midt,8,4
2021-04-10,Midt,8,4
2021-04-11,Midt,8,5
2021-04-12,Midt,9,5
2021-04-13,Midt,8,5
2021-04-14,Midt,9,5
2021-04-15,Midt,9,5
2021-04-16,Midt,9,6
2021-04-17,Midt,9,5
2021-04-18,Midt,9,5
2021-04-19,Midt,9,5
2021-04-20,Midt,11,5
2021-04-21,Midt,12,4
2021-04-22,Midt,13,4
2021-04-23,Midt,10,3
2021-04-24,Midt,10,2
2021-04-25,Midt,9,2
2020-03-08,Nord,0,0
2020-03-09,Nord,0,0
2020-03-10,Nord,0,0
2020-03-11,Nord,0,0
2020-03-12,Nord,0,0
2020-03-13,Nord,0,0
2020-03-14,Nord,0,0
2020-03-15,Nord,0,0
2020-03-16,Nord,0,0
2020-03-17,Nord,4,1
2020-03-18,Nord,3,0
2020-03-19,Nord,4,0
2020-03-20,Nord,4,1
2020-03-21,Nord,3,1
2020-03-22,Nord,4,2
2020-03-23,Nord,4,2
2020-03-24,Nord,4,2
2020-03-25,Nord,5,2
2020-03-26,Nord,7,2
2020-03-27,Nord,12,4
2020-03-28,Nord,13,5
2020-03-29,Nord,16,6
2020-03-30,Nord,14,6
2020-03-31,Nord,16,6
2020-04-01,Nord,17,6
2020-04-02,Nord,15,6
2020-04-03,Nord,16,6
2020-04-04,Nord,15,6
2020-04-05,Nord,16,6
2020-04-06,Nord,16,6
2020-04-07,Nord,15,6
2020-04-08,Nord,15,6
2020-04-09,Nord,15,6
2020-04-10,Nord,15,6
2020-04-11,Nord,14,5
2020-04-12,Nord,13,5
2020-04-13,Nord,14,5
2020-04-14,Nord,14,5
2020-04-15,Nord,13,5
2020-04-16,Nord,12,5
2020-04-17,Nord,12,2
2020-04-18,Nord,10,2
2020-04-19,Nord,11,2
2020-04-20,Nord,11,2
2020-04-21,Nord,11,2
2020-04-22,Nord,10,2
2020-04-23,Nord,10,2
2020-04-24,Nord,9,2
2020-04-25,Nord,9,3
2020-04-26,Nord,10,2
2020-04-27,Nord,8,2
2020-04-28,Nord,8,2
2020-04-29,Nord,9,3
2020-04-30,Nord,8,3
2020-05-01,Nord,8,3
2020-05-02,Nord,8,3
2020-05-03,Nord,7,2
2020-05-04,Nord,7,2
2020-05-05,Nord,6,2
2020-05-06,Nord,6,2
2020-05-07,Nord,6,1
2020-05-08,Nord,6,1
2020-05-09,Nord,5,1
2020-05-10,Nord,5,1
2020-05-11,Nord,5,1
2020-05-12,Nord,4,0
2020-05-13,Nord,4,0
2020-05-14,Nord,4,0
2020-05-15,Nord,4,0
2020-05-16,Nord,4,0
2020-05-17,Nord,4,0
2020-05-18,Nord,4,0
2020-05-19,Nord,5,0
2020-05-20,Nord,5,0
2020-05-21,Nord,3,0
2020-05-22,Nord,3,0
2020-05-23,Nord,3,0
2020-05-24,Nord,3,0
2020-05-25,Nord,3,0
2020-05-26,Nord,3,0
2020-05-27,Nord,2,0
2020-05-28,Nord,1,0
2020-05-29,Nord,1,0
2020-05-30,Nord,1,0
2020-05-31,Nord,1,0
2020-06-01,Nord,1,0
2020-06-02,Nord,1,0
2020-06-03,Nord,1,0
2020-06-04,Nord,1,0
2020-06-05,Nord,1,0
2020-06-08,Nord,0,0
2020-06-09,Nord,0,0
2020-06-10,Nord,0,0
2020-06-11,Nord,0,0
2020-06-12,Nord,0,0
2020-06-15,Nord,0,0
2020-06-16,Nord,0,0
2020-06-17,Nord,0,0
2020-06-18,Nord,0,0
2020-06-19,Nord,0,0
2020-06-22,Nord,0,0
2020-06-23,Nord,0,0
2020-06-24,Nord,0,0
2020-06-25,Nord,0,0
2020-06-26,Nord,0,0
2020-06-29,Nord,0,0
2020-06-30,Nord,0,0
2020-07-01,Nord,0,0
2020-07-02,Nord,0,0
2020-07-03,Nord,0,0
2020-07-06,Nord,0,0
2020-07-07,Nord,0,0
2020-07-08,Nord,0,0
2020-07-09,Nord,0,0
2020-07-10,Nord,0,0
2020-07-13,Nord,1,0
2020-07-14,Nord,1,0
2020-07-15,Nord,1,0
2020-07-16,Nord,1,0
2020-07-17,Nord,1,0
2020-07-20,Nord,0,0
2020-07-21,Nord,0,0
2020-07-22,Nord,0,0
2020-07-23,Nord,0,0
2020-07-24,Nord,0,0
2020-07-27,Nord,0,0
2020-07-28,Nord,0,0
2020-07-29,Nord,0,0
2020-07-30,Nord,0,0
2020-07-31,Nord,0,0
2020-08-03,Nord,4,0
2020-08-04,Nord,5,0
2020-08-05,Nord,4,0
2020-08-06,Nord,6,0
2020-08-07,Nord,5,0
2020-08-10,Nord,6,0
2020-08-11,Nord,5,0
2020-08-12,Nord,4,0
2020-08-13,Nord,1,0
2020-08-14,Nord,0,0
2020-08-17,Nord,2,0
2020-08-18,Nord,2,0
2020-08-19,Nord,2,0
2020-08-20,Nord,2,0
2020-08-21,Nord,2,0
2020-08-24,Nord,3,0
2020-08-25,Nord,3,0
2020-08-26,Nord,3,0
2020-08-27,Nord,3,0
2020-08-28,Nord,1,0
2020-08-31,Nord,0,0
2020-09-01,Nord,0,0
2020-09-02,Nord,0,0
2020-09-03,Nord,0,0
2020-09-04,Nord,0,0
2020-09-07,Nord,0,0
2020-09-08,Nord,0,0
2020-09-09,Nord,0,0
2020-09-10,Nord,0,0
2020-09-11,Nord,0,0
2020-09-14,Nord,0,0
2020-09-15,Nord,0,0
2020-09-16,Nord,0,0
2020-09-17,Nord,0,0
2020-09-18,Nord,0,0
2020-09-21,Nord,0,0
2020-09-22,Nord,0,0
2020-09-23,Nord,0,0
2020-09-24,Nord,0,0
2020-09-25,Nord,0,0
2020-09-28,Nord,0,0
2020-09-29,Nord,0,0
2020-09-30,Nord,0,0
2020-10-01,Nord,0,0
2020-10-02,Nord,0,0
2020-10-05,Nord,0,0
2020-10-06,Nord,1,0
2020-10-07,Nord,1,0
2020-10-08,Nord,1,0
2020-10-09,Nord,1,0
2020-10-12,Nord,2,0
2020-10-13,Nord,2,0
2020-10-14,Nord,2,0
2020-10-15,Nord,2,0
2020-10-16,Nord,2,0
2020-10-19,Nord,3,0
2020-10-20,Nord,4,0
2020-10-21,Nord,3,0
2020-10-22,Nord,4,0
2020-10-23,Nord,3,0
2020-10-26,Nord,2,0
2020-10-27,Nord,3,0
2020-10-28,Nord,3,0
2020-10-29,Nord,4,0
2020-10-30,Nord,4,0
2020-10-31,Nord,4,0
2020-11-01,Nord,4,0
2020-11-02,Nord,4,0
2020-11-03,Nord,5,0
2020-11-04,Nord,4,0
2020-11-05,Nord,4,0
2020-11-06,Nord,4,0
2020-11-07,Nord,5,0
2020-11-08,Nord,4,0
2020-11-09,Nord,4,0
2020-11-10,Nord,3,0
2020-11-11,Nord,3,0
2020-11-12,Nord,2,0
2020-11-13,Nord,1,0
2020-11-14,Nord,1,0
2020-11-15,Nord,1,0
2020-11-16,Nord,2,0
2020-11-17,Nord,2,0
2020-11-18,Nord,2,0
2020-11-19,Nord,1,0
2020-11-20,Nord,1,0
2020-11-21,Nord,3,0
2020-11-22,Nord,4,0
2020-11-23,Nord,7,0
2020-11-24,Nord,6,0
2020-11-25,Nord,3,0
2020-11-26,Nord,3,0
2020-11-27,Nord,2,0
2020-11-28,Nord,3,0
2020-11-29,Nord,4,0
2020-11-30,Nord,4,0
2020-12-01,Nord,4,0
2020-12-02,Nord,2,0
2020-12-03,Nord,2,0
2020-12-04,Nord,3,0
2020-12-05,Nord,2,0
2020-12-06,Nord,2,0
2020-12-07,Nord,1,0
2020-12-08,Nord,2,0
2020-12-09,Nord,2,0
2020-12-10,Nord,3,0
2020-12-11,Nord,3,0
2020-12-12,Nord,2,0
2020-12-13,Nord,2,0
2020-12-14,Nord,1,0
2020-12-15,Nord,1,0
2020-12-16,Nord,4,0
2020-12-17,Nord,3,0
2020-12-18,Nord,4,0
2020-12-19,Nord,4,0
2020-12-20,Nord,4,0
2020-12-21,Nord,4,0
2020-12-22,Nord,4,0
2020-12-23,Nord,3,0
2020-12-24,Nord,2,0
2020-12-25,Nord,2,0
2020-12-26,Nord,2,0
2020-12-27,Nord,2,0
2020-12-28,Nord,2,0
2020-12-29,Nord,3,0
2020-12-30,Nord,2,0
2020-12-31,Nord,3,0
2021-01-01,Nord,3,0
2021-01-02,Nord,3,0
2021-01-03,Nord,4,0
2021-01-04,Nord,4,1
2021-01-05,Nord,5,1
2021-01-06,Nord,4,1
2021-01-07,Nord,4,1
2021-01-08,Nord,4,1
2021-01-09,Nord,4,1
2021-01-10,Nord,4,1
2021-01-11,Nord,4,1
2021-01-12,Nord,4,1
2021-01-13,Nord,3,1
2021-01-14,Nord,3,1
2021-01-15,Nord,4,1
2021-01-16,Nord,4,1
2021-01-17,Nord,4,0
2021-01-18,Nord,5,0
2021-01-19,Nord,2,0
2021-01-20,Nord,3,0
2021-01-21,Nord,4,1
2021-01-22,Nord,4,1
2021-01-23,Nord,3,1
2021-01-24,Nord,4,1
2021-01-25,Nord,4,1
2021-01-26,Nord,3,1
2021-01-27,Nord,4,0
2021-01-28,Nord,4,0
2021-01-29,Nord,4,1
2021-01-30,Nord,3,1
2021-01-31,Nord,2,0
2021-02-01,Nord,3,0
2021-02-02,Nord,4,0
2021-02-03,Nord,4,0
2021-02-04,Nord,2,0
2021-02-05,Nord,2,0
2021-02-06,Nord,2,0
2021-02-07,Nord,2,0
2021-02-08,Nord,2,0
2021-02-09,Nord,2,0
2021-02-10,Nord,2,0
2021-02-11,Nord,3,0
2021-02-12,Nord,2,0
2021-02-13,Nord,2,0
2021-02-14,Nord,2,0
2021-02-15,Nord,2,0
2021-02-16,Nord,2,0
2021-02-17,Nord,4,0
2021-02-18,Nord,4,0
2021-02-19,Nord,5,0
2021-02-20,Nord,5,0
2021-02-21,Nord,5,0
2021-02-22,Nord,4,0
2021-02-23,Nord,4,0
2021-02-24,Nord,4,0
2021-02-25,Nord,3,0
2021-02-26,Nord,2,0
2021-02-27,Nord,3,0
2021-02-28,Nord,3,0
2021-03-01,Nord,4,0
2021-03-02,Nord,4,0
2021-03-03,Nord,7,0
2021-03-04,Nord,8,0
2021-03-05,Nord,8,0
2021-03-06,Nord,7,0
2021-03-07,Nord,7,0
2021-03-08,Nord,6,0
2021-03-09,Nord,6,1
2021-03-10,Nord,7,1
2021-03-11,Nord,5,1
2021-03-12,Nord,8,1
2021-03-13,Nord,6,1
2021-03-14,Nord,7,1
2021-03-15,Nord,11,2
2021-03-16,Nord,9,2
2021-03-17,Nord,9,2
2021-03-18,Nord,8,2
2021-03-19,Nord,7,1
2021-03-20,Nord,8,1
2021-03-21,Nord,8,1
2021-03-22,Nord,7,1
2021-03-23,Nord,6,1
2021-03-24,Nord,5,1
2021-03-25,Nord,6,1
2021-03-26,Nord,6,1
2021-03-27,Nord,6,1
2021-03-28,Nord,6,0
2021-03-29,Nord,6,0
2021-03-30,Nord,4,0
2021-03-31,Nord,5,0
2021-04-01,Nord,4,1
2021-04-02,Nord,4,1
2021-04-03,Nord,4,1
2021-04-04,Nord,4,1
2021-04-05,Nord,1,0
2021-04-06,Nord,1,0
2021-04-07,Nord,0,0
2021-04-08,Nord,0,0
2021-04-09,Nord,1,0
2021-04-10,Nord,1,0
2021-04-11,Nord,1,0
2021-04-12,Nord,1,0
2021-04-13,Nord,1,0
2021-04-14,Nord,1,0
2021-04-15,Nord,1,0
2021-04-16,Nord,1,0
2021-04-17,Nord,1,0
2021-04-18,Nord,3,0
2021-04-19,Nord,3,0
2021-04-20,Nord,5,0
2021-04-21,Nord,3,0
2021-04-22,Nord,3,0
2021-04-23,Nord,2,0
2021-04-24,Nord,2,0
2021-04-25,Nord,2,0
2020-03-08,Sør-Øst,0,0
2020-03-09,Sør-Øst,2,0
2020-03-10,Sør-Øst,7,0
2020-03-11,Sør-Øst,11,0
2020-03-12,Sør-Øst,21,1
2020-03-13,Sør-Øst,22,4
2020-03-14,Sør-Øst,27,4
2020-03-15,Sør-Øst,32,6
2020-03-16,Sør-Øst,41,9
2020-03-17,Sør-Øst,48,10
2020-03-18,Sør-Øst,56,13
2020-03-19,Sør-Øst,71,16
2020-03-20,Sør-Øst,87,21
2020-03-21,Sør-Øst,100,22
2020-03-22,Sør-Øst,117,24
2020-03-23,Sør-Øst,142,28
2020-03-24,Sør-Øst,153,32
2020-03-25,Sør-Øst,173,41
2020-03-26,Sør-Øst,200,52
2020-03-27,Sør-Øst,228,55
2020-03-28,Sør-Øst,220,60
2020-03-29,Sør-Øst,239,66
2020-03-30,Sør-Øst,243,70
2020-03-31,Sør-Øst,241,71
2020-04-01,Sør-Øst,245,73
2020-04-02,Sør-Øst,239,70
2020-04-03,Sør-Øst,240,70
2020-04-04,Sør-Øst,234,72
2020-04-05,Sør-Øst,237,64
2020-04-06,Sør-Øst,240,60
2020-04-07,Sør-Øst,213,56
2020-04-08,Sør-Øst,185,49
2020-04-09,Sør-Øst,187,49
2020-04-10,Sør-Øst,168,46
2020-04-11,Sør-Øst,152,44
2020-04-12,Sør-Øst,156,40
2020-04-13,Sør-Øst,148,40
2020-04-14,Sør-Øst,144,36
2020-04-15,Sør-Øst,136,35
2020-04-16,Sør-Øst,124,35
2020-04-17,Sør-Øst,118,38
2020-04-18,Sør-Øst,108,35
2020-04-19,Sør-Øst,106,34
2020-04-20,Sør-Øst,113,31
2020-04-21,Sør-Øst,102,29
2020-04-22,Sør-Øst,89,23
2020-04-23,Sør-Øst,85,24
2020-04-24,Sør-Øst,83,22
2020-04-25,Sør-Øst,83,22
2020-04-26,Sør-Øst,87,21
2020-04-27,Sør-Øst,94,21
2020-04-28,Sør-Øst,91,21
2020-04-29,Sør-Øst,85,20
2020-04-30,Sør-Øst,73,19
2020-05-01,Sør-Øst,60,21
2020-05-02,Sør-Øst,56,20
2020-05-03,Sør-Øst,57,20
2020-05-04,Sør-Øst,58,20
2020-05-05,Sør-Øst,47,20
2020-05-06,Sør-Øst,39,16
2020-05-07,Sør-Øst,41,15
2020-05-08,Sør-Øst,39,13
2020-05-09,Sør-Øst,36,13
2020-05-10,Sør-Øst,38,14
2020-05-11,Sør-Øst,38,15
2020-05-12,Sør-Øst,36,15
2020-05-13,Sør-Øst,40,14
2020-05-14,Sør-Øst,40,12
2020-05-15,Sør-Øst,41,11
2020-05-16,Sør-Øst,35,10
2020-05-17,Sør-Øst,36,10
2020-05-18,Sør-Øst,36,10
2020-05-19,Sør-Øst,35,10
